tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0108978,2,93,0,V.R. Troopers,1994,1996,0,5.6,1090
tt0108981,4,30,0,The Vicar of Dibley,1994,2020,0,8,14896
tt0108983,4,78,0,Viper,1994,1999,0,5.8,1913
tt0111873,3,16,0,Æon Flux,1991,1995,0,7.8,6824
tt0111892,2,45,0,Baywatch Nights,1995,1997,0,3.8,1520
tt0111899,4,27,0,Bramwell,1995,1998,0,7.9,1045
tt0111901,2,40,0,Brotherly Love,1995,1997,0,7.2,1703
tt0111910,4,97,0,Caroline in the City,1995,1999,0,6.2,4215
tt0111932,4,87,0,Cybill,1995,1998,0,6.9,4683
tt0111948,2,23,0,Earthworm Jim,1995,1996,0,7.4,2244
tt0111958,3,25,0,Father Ted,1995,1998,0,8.7,42592
tt0111964,4,99,0,Flipper,1995,2000,0,5.3,1091
tt0111970,2,24,0,Freakazoid!,1995,1997,0,7.5,8380
tt0111976,3,18,0,Game-On,1995,1998,0,7.9,2464
tt0111987,4,74,0,Goosebumps,1995,1998,0,7.6,14531
tt0111993,3,20,0,Hamish Macbeth,1995,1997,0,7.8,2296
tt0112047,3,39,0,Life with Louie,1994,1998,0,8.3,8159
tt0112064,3,54,0,The Mask,1995,1997,0,6.9,13037
tt0112084,4,30,0,Mr. Show with Bob and David,1995,1998,0,8.4,10350
tt0112086,2,48,0,Murder One,1995,1997,0,8.2,2390
tt0112093,2,46,0,Ned and Stacey,1995,2017,0,7,1861
tt0112123,4,66,0,Pinky and the Brain,1995,1998,0,7.8,32034
tt0112194,2,14,0,The Thin Blue Line,1995,1996,0,7.5,7641
tt0112196,3,36,0,The Tick,1994,1997,0,7.8,10009
tt0112197,3,85,0,Timon & Pumbaa,1995,1999,0,7,10821
tt0112225,2,50,0,Wishbone,1995,1998,0,8.2,4213
tt0114327,4,160,0,Sailor Moon,1995,2000,0,7.6,12983
tt0115086,2,44,0,The Adventures of Sinbad,1996,1998,0,7,2136
tt0115108,3,52,0,Beast Wars: Transformers,1996,1999,0,8.1,8509
tt0115115,2,32,0,Boston Common,1996,1997,0,7,1071
tt0115128,4,64,0,Casper,1996,1998,0,5.8,1185
tt0115137,3,62,0,Clueless,1996,1999,0,5.7,3390
tt0115144,4,95,0,Cosby,1996,2000,0,6.2,2658
tt0115157,4,79,0,Dexter's Laboratory,1996,2003,0,7.9,52176
tt0115163,4,90,0,Early Edition,1996,2000,0,7.6,12628
tt0115215,2,21,0,The Incredible Hulk,1996,1998,0,6.7,3580
