tconst,num_seasons,num_episodes,long
tt0054526,1,30,0
tt0054527,1,26,0
tt0054528,2,60,0
tt0054529,2,39,0
tt0054530,1,5,0
tt0054531,4,132,0
tt0054532,2,60,0
tt0054533,5,158,1
tt0054534,1,44,0
tt0054535,5,192,1
tt0054536,1,5,0
tt0054537,1,34,0
tt0054539,1,30,0
tt0054540,1,26,0
tt0054541,3,35,0
tt0054542,1,26,0
tt0054543,1,12,0
tt0054544,1,26,0
tt0054545,5,154,1
tt0054546,7,60,1
tt0054547,1,14,0
tt0054548,1,36,0
tt0054549,4,70,0
tt0054550,1,13,0
tt0054552,4,125,0
tt0054553,1,38,0
tt0054555,1,26,0
tt0054556,1,38,0
tt0054557,6,145,1
tt0054558,1,36,0
tt0054559,1,15,0
tt0054560,6,1298,1
tt0054563,1,36,0
tt0054564,4,74,0
tt0054565,1,26,0
tt0054566,1,5,0
tt0054567,2,39,0
tt0054568,1,104,0
tt0054569,1,26,0
tt0054570,1,35,0
tt0054571,1,26,0
tt0054572,1,30,0
tt0054573,6,71,1
tt0054574,1,14,0
tt0054575,1,26,0
tt0054577,1,34,0
tt0054578,1,26,0
tt0054579,1,34,0
tt0054580,2,13,0
tt0054581,1,3,0
tt0054921,1,5,0
tt0055641,1,5,0
tt0055655,1,4,0
tt0055656,1,26,0
tt0055657,3,93,0
tt0055658,1,9,0
tt0055659,1,6,0
tt0055660,5,115,1
tt0055661,1,39,0
tt0055662,9,274,1
tt0055663,1,33,0
tt0055664,1,7,0
tt0055665,1,7,0
tt0055666,5,152,1
tt0055667,5,72,1
tt0055668,1,18,0
tt0055669,2,62,0
tt0055671,1,32,0
tt0055672,2,27,0
tt0055673,1,39,0
tt0055674,1,33,0
tt0055675,1,26,0
tt0055676,1,30,0
tt0055677,1,6,0
tt0055678,6,69,1
tt0055679,1,32,0
tt0055680,1,19,0
tt0055681,3,104,0
tt0055682,4,125,0
tt0055683,3,75,0
tt0055684,1,9,0
tt0055685,1,34,0
tt0055686,6,156,1
tt0055687,2,20,0
tt0055688,8,1748,1
tt0055689,4,138,0
tt0055690,1,26,0
tt0055691,9,4469,1
tt0055692,1,25,0
tt0055693,1,26,0
tt0055694,3,98,0
tt0055695,1,13,0
tt0055696,1,162,0
tt0055697,1,34,0
tt0055698,2,76,0
tt0055699,1,27,0
tt0055700,1,13,0
tt0055701,6,118,1
tt0055702,1,18,0
tt0055703,1,28,0
tt0055705,1,32,0
tt0055706,1,9,0
tt0055708,9,9812,1
tt0055709,1,131,0
tt0055710,9,249,1
tt0055713,1,28,0
tt0055714,1,80,0
tt0056737,1,30,0
tt0056738,1,31,0
tt0056739,1,106,0
tt0056740,1,72,0
tt0056741,2,42,0
tt0056742,4,103,0
tt0056743,1,30,0
tt0056744,1,6,0
tt0056745,3,81,0
tt0056746,1,26,0
tt0056747,1,20,0
tt0056748,4,123,0
tt0056749,9,164,1
tt0056750,1,4,0
tt0056751,9,695,1
tt0056752,1,4518,0
tt0056753,1,26,0
tt0056754,1,25,0
tt0056755,3,101,0
tt0056756,1,26,0
tt0056757,4,120,0
tt0056758,1,12428,0
tt0056759,2,184,0
tt0056760,1,13,0
tt0056761,1,26,0
tt0056762,1,30,0
tt0056763,1,32,0
tt0056764,2,21,0
tt0056765,1,31,0
tt0056766,1,10,0
tt0056767,1,26,0
tt0056768,2,59,0
tt0056769,1,35,0
tt0056770,1,169,0
tt0056771,1,29,0
tt0056772,2,15,0
tt0056773,5,44,1
tt0056774,2,60,0
tt0056775,3,107,0
tt0056776,1,30,0
tt0056777,2,49,0
tt0056778,3,105,0
tt0056780,7,222,1
tt0056781,1,13,0
tt0056782,1,15,0
tt0056783,1,25,0
tt0056784,1,13,0
tt0056785,1,13,0
tt0056786,1,9,0
tt0056787,2,26,0
tt0056788,1,26,0
tt0056789,1,13,0
tt0056790,2,12,0
tt0056791,1,26,0
tt0056792,5,45,1
tt0056793,1,4,0
tt0056794,1,1,0
tt0057729,2,64,0
tt0057730,1,26,0
tt0057731,1,6551,0
tt0057732,1,26,0
tt0057733,8,254,1
tt0057734,1,6,0
tt0057735,1,6,0
tt0057736,1,28,0
tt0057738,1,32,0
tt0057739,1,30,0
tt0057740,1,22,0
tt0057741,1,4532,0
tt0057742,6,165,1
tt0057743,1,13,0
tt0057744,1,13,0
tt0057746,2,13,0
tt0057747,1,515,0
tt0057748,3,88,0
tt0057749,1,8,0
tt0057750,3,104,0
tt0057751,3,99,0
tt0057752,5,150,1
tt0057753,1,26,0
tt0057754,1,13,0
tt0057755,7,194,1
tt0057756,1,17,0
tt0057757,2,26,0
tt0057758,1,41,0
tt0057760,1,27,0
tt0057761,1,26,0
tt0057762,1,6,0
tt0057763,2,3,0
tt0057765,4,105,0
tt0057766,1,26,0
tt0057768,5,39,1
tt0057769,1,32,0
tt0057770,1,17,0
tt0057772,1,13,0
tt0057773,2,72,0
tt0057774,1,26,0
tt0057776,1,34,0
tt0057778,1,10,0
tt0057779,5,514,1
tt0057780,1,26,0
tt0057781,1,13,0
tt0057782,1,30,0
tt0057783,5,52,1
tt0057784,2,36,0
tt0057785,8,57,1
tt0057786,1,40,0
